02C_sim,,05C_sim,,1C_sim,,2C_sim,,02C_ye,,05C_ye,,1C_ye,,2C_ye,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
0,4.154094324043463,0,4.0998436592479575,0,4.0231692510232255,0,3.8903689549655334,3.097932804411357,4.181746609569078,3.461913331942924,4.112126558122645,3.461913331942924,4.036717333450542,3.461913331942924,3.9014035845062094
250,4.090185640417055,40.14491112480664,4.04226427622842,20.072455562403775,3.9423260517164334,6.690818520801258,3.7672402091136377,518.580002266207,4.083032974485039,351.38447641360835,4.001479377996289,190.80483191437816,3.898584548069869,164.04155783117312,3.6772901878171576
500,4.071187590065271,200,3.9893498347037384,200,3.835904043400865,100,3.6488463168602188,1069.8392165224295,4.04233341783902,699.3070394952738,3.9422796128331434,404.9110245800184,3.8295181553795326,317.930383809603,3.5807381898725037
750,4.04780537424769,400,3.9528151224887687,400,3.778909892345512,200,3.5801610578960754,1638.1519890244736,4.00710504710865,1033.8479655353367,3.8887179205426783,592.2539431624537,3.7674993537800465,498.58248387123604,3.503919446982231
1000,4.033191489361703,600,3.9162804102737985,600,3.7175315758243626,300,3.5202441298635248,2181.26293331982,3.9744201721389425,1395.1521656586046,3.8393847829067234,806.3601358280939,3.7097091068350707,659.1621283704662,3.4292149814192134
1250,4.014193439009918,800,3.892898194456218,800,3.669305755700602,400,3.4764024752055604,2730.5110786949353,3.945977061023047,1743.07472874027,3.7928706817071087,1007.0846914521317,3.657556932762776,833.123409911299,3.370015216256068
1500,4.001040942612529,1000,3.863670424684242,1000,3.628386878019836,500,3.4267152665932015,3278.4923271414473,3.91438684206474,2090.9972918219364,3.7477660987256645,1221.190884117772,3.606814276908651,1007.0846914521317,3.3206820786201137
1750,3.986427057726541,1200,3.840288208866661,1200,3.583083834873273,600,3.384780408180778,3837.208356308939,3.8867226529842247,2452.3014919452035,3.70407103396239,1462.0603508666172,3.565938248581717,1181.0459729929644,3.2769870138568393
2000,3.971813172840553,1400,3.8110604390946854,1400,3.5436263456811057,700,3.3588385072790006,4387.121346392575,3.857833008391964,2786.8424179852664,3.6674235602899667,1676.1665435322575,3.526471738472953,1348.3164360129958,3.2382252628571604
2250,3.9586606764431638,1600,3.7891396117657035,1600,3.511475798931932,800,3.3331864033228786,4937.485596763455,3.831126133762821,3161.5282551501377,3.6350046412720536,1876.8910991562952,3.49264330123687,1515.5868990330273,3.1952349572029712
2500,3.942585403068577,1800,3.7613732304823264,1800,3.486632194625752,900,3.3156497414596933,5492.142802242101,3.804145606975519,3496.0691811902007,3.603995240472311,2090.9972918219364,3.4658624550916377,1689.54818057386,3.138854228476166
2749.999999999999,3.9308942951597867,2000,3.740913791641943,2000,3.467634144273968,1000,3.2982168201373647,6030.783605061167,3.777596113228271,3857.373381313467,3.5786239125452486,2331.866758570781,3.4404911271645746,1856.8186435938915,3.0465307851860217
3000.000000000001,3.9162804102737985,2200,3.7175315758243626,2200,3.450097482410782,1100,3.2810736957606923,6584.379725437925,3.752115011738105,4191.91430735353,3.5560716210545262,2505.8280401116144,3.4193483538920226,2024.089106613923,2.738551054515847
3250.000000000001,3.9031279138764097,2399.999999999999,3.69561074849538,2399.999999999999,3.4354835975247946,1200,3.260116978892939,7123.798867239741,3.730477872905541,4553.2185074767995,3.537747884218314,2733.315869818857,3.3939770259649604,,
3500.000000000001,3.8899754174790204,2600,3.6707671441892007,2600,3.4150241586844112,1300,3.2358743931549867,7658.413466078137,3.706004487016473,4901.141070558465,3.5194241473821024,2960.803699526099,3.3728342526924084,,
3750.000000000001,3.8782843095702297,2800,3.6532304823260153,2800,3.3960261083326273,1400,3.207506993303382,8250.374267560099,3.684694195322728,5249.0636336401285,3.503919446982231,3134.764981066931,3.3446438883290055,,
4000.000000000001,3.863670424684242,3000.000000000001,3.632771043485632,3000.000000000001,3.372643892515046,1500,3.1782792235314066,8766.225823137236,3.66776502039317,5570.222922638589,3.4884147465823596,3348.871173732571,3.3108154510929224,,
4250.000000000001,3.8549020937526493,3200.000000000001,3.618157158599644,3200.000000000001,3.344877511231669,1600,3.122746460964652,9326.785342607815,3.650757416878323,5931.527122761857,3.470091009746148,3549.595729356609,3.262891831675138,,
4500.000000000001,3.840288208866661,3400.000000000001,3.6035432737136563,3400.000000000001,3.303958633550903,1700,3.059906755954904,9881.748593997152,3.635717132595364,6292.831322885127,3.451767272909936,3763.701922022249,3.169863629275909,,
4750.000000000001,3.8300584894464698,3600.000000000001,3.5860066118504705,3600.000000000001,3.245503094006951,1753.164270354392,2.9593573643435436,10432.349746572974,3.6227178306923156,6640.75388596679,3.4263959449828736,3977.8081146878894,2.8315792569150764,,
5000.000000000001,3.8169059930490805,3800.000000000001,3.57431550394168,3800.000000000001,3.127130626430448,1800,2.732162197022258,10991.892729423438,3.612624546192131,6988.676449048456,3.3967960624013007,,,,
5250.000000000001,3.8037534966516913,4000.000000000001,3.5640857845214886,3877.4458368758706,2.9654834876412393,,,11530.483280259632,3.6023880030928854,7336.599012130121,3.353100997638027,,,,
5500.000000000001,3.792062388742901,4200.000000000001,3.555317453589896,3944.354022083883,2.682875084898127,,,12072.221192128018,3.5922352861176288,7697.903212253389,3.261482313456968,,,,
5750.000000000001,3.7818326693227093,4400.000000000001,3.5450877341697042,,,,,12631.45339160497,3.585317779618025,8045.8257753350545,2.8851409492055407,,,,
6000.000000000001,3.7672187844367215,4600.000000000001,3.5377807917267106,,,,,13173.786848083084,3.577716891599051,,,,,,
6250.000000000001,3.7584504535051284,4800.000000000001,3.5290124607951174,,,,,13766.593369026094,3.569211391516003,,,,,,
6500.000000000001,3.746759345596338,5000.000000000001,3.5217055183521238,,,,,14285.13715704301,3.559919396375995,,,,,,
6750.000000000001,3.7365296261761465,5200.000000000001,3.5129371874205306,,,,,14857.709819293741,3.5489396447411194,,,,,,
7000.000000000001,3.7248385182673562,5400.000000000001,3.505630244977537,,,,,15392.706602530066,3.5405958311762253,,,,,,
7250.000000000001,3.7146087988471646,5600.000000000001,3.496861914045944,,,,,15931.68871580921,3.5270222721258007,,,,,,
7500.000000000001,3.705840467915572,5800.000000000001,3.4880935831143507,,,,,16492.340264958402,3.5103852344362343,,,,,,
7750.000000000001,3.6941493600067816,6000.000000000001,3.4764024752055604,,,,,17023.53395061728,3.495591336780537,,,,,,
8000.000000000001,3.68391964058659,6200.000000000001,3.466172755785369,,,,,17573.335595792665,3.480794188504312,,,,,,
