% Model,TEC_discharge_model_0020.mph
% Version,COMSOL 5.5.0.359
% Date,"Mar 23 2021, 17:20"
% Table,Simulation Data - 
% Time (s),"Current_Out_Probe (pt. 5) (No parameters) (1/m), Point: 4",SoC cell (No parameters) (m^4),Ah cell (No parameters) (m^4),"Cell voltage (5,t) (No parameters) (1), Point: 4","OCP NE [V] (No parameters) (1), Point: 1","OCP PE [V] (No parameters) (1), Point: 4",Max cell temperature [K] (No parameters) (1)
0,11.543718305791439,0.9999999994621698,6.413845636661877E-9,4.042649168471751,0.11148736868016798,4.305143453753204,298.00000000000006
1,11.544004112209475,0.999731116194845,0.00320692941677471,4.027610795890384,0.11163180321630031,4.290815764214669,298.00000000000006
2,11.544074743361994,0.9994622329275115,0.00641385241970892,4.021391163308299,0.11168506627554747,4.285130505927412,298.00000000000006
3,11.544118488484138,0.9991933496601536,0.009620775422742183,4.01641337748343,0.11178614977775651,4.280793976844962,298.00000000000006
4,11.544149677708894,0.9989244663927488,0.012827698426300497,4.01211403635492,0.11202856085680743,4.277238651759604,298.00000000000006
5,11.544174826825436,0.9986555831253385,0.01603462142996435,4.0083465374775225,0.11231686762188062,4.274209646538423,298.00000000000006
6,11.544196029020014,0.9983866998579214,0.01924154443371203,4.004915178065824,0.1125917832434358,4.271499310312449,298.00000000000006
7,11.544214054219028,0.9981178165904898,0.022448467437562125,4.001879727205883,0.1128129330974231,4.269064172849435,298.00000000000006
8,11.544230427415185,0.997848933323058,0.0256553904415174,3.999160587209068,0.11296069709280845,4.266847245878923,298.00000000000006
9,11.54424589868625,0.9975800500556093,0.028862313445579692,3.9966899466053456,0.11302422293613515,4.264808717451028,298.00000000000006
10,11.544260951710704,0.9973111667881547,0.03206923644975064,3.994401039587676,0.11302341968625668,4.26291949537035,298.00000000000006
11,11.544275892901833,0.9970422835205991,0.03527615945512052,3.992249115659679,0.11301389744826086,4.261157552415274,298.00000000000006
12,11.544290913249947,0.9967734002529001,0.03848308246217938,3.990213389549355,0.1129999984898288,4.259505680212652,298.00000000000006
13,11.544306281609014,0.9965045169853763,0.041690005467184224,3.9882579869968446,0.11298352038612057,4.257931644913458,298.00000000000006
14,11.544322129106714,0.9962356337178959,0.04489692847164187,3.986386282964493,0.11296622292541514,4.256439646167715,298.00000000000006
15,11.544338332348945,0.9959667504504236,0.04810385147601552,3.9845881506948695,0.11294947237728444,4.255024708662196,298.00000000000006
16,11.544354911817807,0.9956978671829464,0.05131077448043979,3.982849129352899,0.11293432994136769,4.253679655470634,298.00000000000006
17,11.54437186637834,0.9954289839154603,0.05451769748494106,3.9811589160022796,0.11292166035009096,4.252398102823417,298.00000000000006
18,11.544389151819823,0.995160100647971,0.05772462048952964,3.979509214868513,0.11291217515489704,4.251173417379846,298.00000000000006
19,11.544406711051039,0.9948912173804733,0.060931543494202156,3.977893747737487,0.11290650024803842,4.249999846569147,298.00000000000006
20,11.544424485423498,0.9946223341129639,0.0641384664989498,3.9763066843862025,0.11290625253873894,4.248872617922499,298.00000000000006
21,11.544442419324072,0.9943534508429258,0.06734538953399191,3.974741975842261,0.11293791981618244,4.247787716894783,298.00000000000006
22,11.544460458564936,0.9940845675697451,0.07055231260639262,3.9732034534948086,0.1130061124166355,4.246741648028603,298.00000000000006
23,11.54447855365648,0.9938156842994204,0.07375923564474854,3.971696932532066,0.11310232970108643,4.245731435222584,298.00000000000006
24,11.544496658381998,0.9935468010298127,0.07696615867464043,3.970227260008496,0.11321893629748053,4.244754394774128,298.00000000000006
25,11.544514730351993,0.9932779177624372,0.08017308167779832,3.968796636278515,0.11334920592754029,4.243808126438369,298.00000000000006
26,11.544532616293836,0.993009034495626,0.08338000467430726,3.967405966814775,0.11348728389340437,4.242890521168733,298.00000000000006
27,11.544549636418207,0.9927401512287225,0.08658692767192214,3.9660559292573714,0.11362810679694649,4.2420007302499645,298.00000000000006
28,11.544566666941995,0.9924712679616262,0.08979385067174425,3.9647459310684723,0.11376732119497457,4.2411373502900185,298.00000000000006
29,11.544583651196296,0.9922023846943971,0.09300077367321731,3.963475137952086,0.11390118251653406,4.240298556880046,298.00000000000006
30,11.54460054811133,0.9919335014271146,0.09620769667534415,3.9622419467202077,0.11402647799125713,4.239482707114451,298.00000000000006
31,11.544617330553587,0.991664618159818,0.09941461967759403,3.9610447037738528,0.11414043213377215,4.238688305915596,298.00000000000006
32,11.544633979492668,0.9913957348925182,0.10262154267990378,3.959881477039634,0.11424061684175053,4.237913979108192,298.00000000000006
33,11.544650479936518,0.9911268516252081,0.10582846568234935,3.9587499470684477,0.11432487048471177,4.237158457807733,298.00000000000006
34,11.544666818714301,0.9908579683578799,0.10903538868495156,3.9576474191451894,0.11439121576367078,4.236420568757652,298.00000000000006
35,11.544682980596413,0.9905890850781314,0.11224231183574478,3.956570136010596,0.11444345077275235,4.235699241094606,298.00000000000006
36,11.544698938792477,0.9903202018166013,0.1154492347692562,3.955515986153334,0.11449291498351193,4.234993553457585,298.00000000000006
37,11.544714673031548,0.9900513185692357,0.1186561575337763,3.9544847510166656,0.11454003390540016,4.234302710834312,298.00000000000006
38,11.544730168084023,0.9897824353078046,0.12186308046608549,3.953475955059543,0.11458486950303502,4.233625996051137,298.00000000000006
39,11.544745412441918,0.9895135521187655,0.125070002534945,3.9524890596444657,0.11462749325804095,4.232962726923337,298.00000000000006
40,11.544760400773553,0.989244668878771,0.12827692521161282,3.9515233361711832,0.11466797445428281,4.232312247407273,298.00000000000006
41,11.544775126057997,0.9889757855951573,0.13148384840850944,3.950578067445578,0.11470637838467589,4.2316739391195295,298.00000000000006
42,11.54478958412493,0.9887069022907913,0.13469077185292036,3.949652389037814,0.11474276643973412,4.231047206853792,298.00000000000006
43,11.54480376621139,0.9884380190064332,0.1378976950586741,3.948745587103482,0.11477719622412785,4.230431485535734,298.00000000000006
