% Model,TEC_discharge_model_1C.mph
% Version,COMSOL 5.5.0.359
% Date,"Mar 23 2021, 09:18"
% Table,Simulation Data - 
% Time (s),"Current_Out_Probe (pt. 5) (No parameters) (1/m), Point: 4",SoC cell (No parameters) (m^4),Ah cell (No parameters) (m^4),"Cell voltage (5,t) (No parameters) (1), Point: 4","OCP NE [V] (No parameters) (1), Point: 1","OCP PE [V] (No parameters) (1), Point: 4",Max cell temperature [K] (No parameters) (1)
0,11.543718305844228,0.9999999994621698,6.413846027464657E-9,4.042649168471768,0.11148736868012106,4.305143453753204,298.00000000000006
1,11.544004112183082,0.9997311161948454,0.0032069294167752253,4.0275682591653945,0.11161000902562734,4.290815764214123,298.00000000000006
2,11.54407474328281,0.9994622329275119,0.0064138524197094055,4.021369370144803,0.11163928495285073,4.285130505948117,298.00000000000006
3,11.544117639321573,0.9991933496601562,0.00962077542275866,4.016588684938814,0.11167022298887314,4.280866927465041,298.00000000000006
4,11.544149388795136,0.9989244663927562,0.012827698426316722,4.012452362222856,0.11171045727678647,4.277285877325879,298.00000000000006
5,11.54417504120124,0.9986555831253414,0.01603462142996421,4.0088035841396605,0.11178022877927843,4.274213045417555,298.00000000000006
6,11.544195943211625,0.9983866998579182,0.019241544433710824,4.005472376688859,0.11191194900630598,4.271502012019768,298.00000000000006
7,11.544213998685084,0.9981178165904925,0.022448467437560307,4.002404410939699,0.11207614664601522,4.2690663495477255,298.00000000000006
8,11.544230389380768,0.9978489333230544,0.02565539044151502,3.999563279572097,0.11225169269221585,4.266849036491858,298.00000000000006
9,11.544245871948663,0.9975800500556068,0.02886231344557694,3.9969228655645734,0.11242455503094556,4.2648102167376765,298.00000000000006
10,11.544260932389962,0.9973111667881536,0.03206923644974747,3.994463689689949,0.1125850695304818,4.262920768714869,298.00000000000006
11,11.544275671821838,0.9970422835206636,0.03527615945433851,3.992143428843417,0.11272850785424225,4.261134198480334,298.00000000000006
12,11.544290413418059,0.9967734002532513,0.03848308245799452,3.9899737941873594,0.11284748812627478,4.259456757872687,298.00000000000006
13,11.544305737909536,0.9965045169857926,0.04169000546220546,3.9879416779751264,0.11293797620929329,4.257879962593518,298.00000000000006
14,11.544321606865932,0.9962356337183113,0.04489692846663253,3.9860290229526134,0.11299756308197177,4.256391763235839,298.00000000000006
15,11.544337880449397,0.9959667504508283,0.04810385147118985,3.9842193573773463,0.11302458796899942,4.254982877243378,298.00000000000006
16,11.544354558659933,0.9956978671833336,0.051310774475825896,3.982493538791615,0.1130253438181741,4.253643909993298,298.00000000000006
17,11.544371606498487,0.995428983915828,0.05451769748052396,3.9808365803009753,0.11302171159468778,4.2523669492138625,298.00000000000006
18,11.544388972733413,0.9951601006483229,0.057724620485281444,3.9792411200281625,0.1130157674040982,4.2511456203184155,298.00000000000006
19,11.544406577521466,0.9948912173808201,0.06093154349009779,3.977700635307935,0.11300808022603138,4.2499740969897335,298.00000000000006
20,11.544424384200745,0.9946223341132988,0.06413846649496995,3.9762106329531517,0.1129991422084756,4.24884849146857,298.00000000000006
21,11.544442344786118,0.9943534508421326,0.06734538954342159,3.974766835973751,0.11298937593763911,4.247765055656064,298.00000000000006
22,11.544460409444849,0.9940845675683045,0.07055231262356691,3.973365467657924,0.1129791462990525,4.2467203896366605,298.00000000000006
23,11.544478541277476,0.9938156842977157,0.07375923566510773,3.9720030310728647,0.1129687729691198,4.245711739764664,298.00000000000006
24,11.544496686518492,0.9935468010282746,0.07696615869294379,3.9706748417375284,0.11295852924542918,4.2447362652248515,298.00000000000006
25,11.544514796892429,0.993277917760813,0.08017308169720064,3.9693764241208505,0.1129486538878336,4.243791441898069,298.00000000000006
26,11.544532701495152,0.9930090344939516,0.08338000469429072,3.968104936565991,0.11293936049816823,4.242875131547515,298.00000000000006
27,11.544549755008514,0.9927401512270612,0.08658692769169823,3.966857947137967,0.11293084218323864,4.2419865111843755,298.00000000000006
28,11.544566816545796,0.9924712679600131,0.08979385069097569,3.9656334636503043,0.1129232758918622,4.241124175576013,298.00000000000006
29,11.544583820384785,0.9922023846928599,0.0930007736915634,3.964429372310129,0.11291682370911814,4.240286165656323,298.00000000000006
30,11.544600739919868,0.9919335014256448,0.0962076966928409,3.9632441472416122,0.11291164085614457,4.239470993789891,298.00000000000006
31,11.544617550472228,0.9916646181583958,0.0994146196945378,3.9620764228878715,0.11290787234421307,4.238677210356206,298.00000000000006
32,11.5446342318501,0.991395734891124,0.10262154269651771,3.9609249364680927,0.11290565573663673,4.237903455285713,298.00000000000006
33,11.544650770381155,0.9911268516238351,0.10582846569871376,3.9597882580591257,0.1129054259317466,4.237148559192273,298.00000000000006
34,11.544667149489673,0.9908579683565302,0.10903538870105883,3.958664341808241,0.11291719458254683,4.236411303815542,298.00000000000006
35,11.544683351332997,0.99058908507862,0.11224231182991909,3.9575538948935907,0.11294424371871048,4.235690576994267,298.00000000000006
36,11.54469934788021,0.9903202018193825,0.11544923473607273,3.956459100836462,0.11298455072569616,4.234985445789619,298.00000000000006
37,11.544715116907183,0.9900513185717189,0.11865615750416476,3.955381998248978,0.11303618704800825,4.234295109112334,298.00000000000006
38,11.544730642550835,0.9897824353089129,0.12186308045285207,3.954323918879363,0.11309733498152406,4.233618844804449,298.00000000000006
39,11.544745912194623,0.9895135521065808,0.1250700026803319,3.9532853958931624,0.11316629750599655,4.232955978547337,298.00000000000006
40,11.544760920454074,0.989244668881385,0.12827692518044528,3.9522672036491135,0.11324149536354064,4.232305865128918,298.00000000000006
41,11.544775659912345,0.988975785608163,0.1314838482533775,3.9512688787182078,0.11332147575719935,4.231667893268514,298.00000000000006
42,11.544790125976798,0.9887069023073947,0.13469077165485643,3.950290563896524,0.11340489517462138,4.2310414705515695,298.00000000000006
43,11.544804309330193,0.9884380190236237,0.13789769485363151,3.949332102318315,0.11349051677322967,4.230426032944325,298.00000000000006
44,11.54481519005039,0.9881691357519145,0.14110461790852502,3.948393552850639,0.113577207362161,4.229822640604844,298.00000000000006
45,11.544822585804463,0.9879002524846263,0.14431154091071158,3.9474758736723827,0.11366392952257141,4.229239191468924,298.00000000000006
46,11.544831328520614,0.9876313692178679,0.14751846390652526,3.9465772461438093,0.11374972919281826,4.228674325390552,298.00000000000006
47,11.544841161512725,0.987362485950262,0.15072538691247794,3.945694732949096,0.11383373781788675,4.228125321818725,298.00000000000006
48,11.544851942409077,0.9870936026823163,0.15393230992249973,3.944826116588174,0.11391515669008315,4.227589710517809,298.00000000000006
49,11.544863586509846,0.9868247194142583,0.15713923293387033,3.943968909522358,0.11399325193325963,4.227065155472684,298.00000000000006
50,11.544876036037559,0.9865558362095789,0.16034615518928197,3.9431207250375384,0.11406734839753642,4.226549441427719,298.00000000000006
51,11.544889245039464,0.9862869528848084,0.1635530788770337,3.9422791917180344,0.11413681895074179,4.226040433600565,298.00000000000006
52,11.54490316033072,0.9860180694668353,0.16676000367639923,3.941442045572414,0.11420108242987603,4.225536085597509,298.00000000000006
53,11.544917726588546,0.9857491862905827,0.1699669255928081,3.9406075031211074,0.11425959225233503,4.225034433696899,298.00000000000006
54,11.544932890944832,0.9854803030531848,0.17317384823849813,3.9397735007149994,0.11431183158322406,4.2245335714397,298.00000000000006
55,11.544948582556852,0.9852114197884969,0.17638077120963463,3.9389387060508962,0.11435730578791457,4.224031684977637,298.00000000000006
56,11.54496473359084,0.9849425365514062,0.17958769385160914,3.9381014862684043,0.11439553480435836,4.223527021449643,298.00000000000006
57,11.544981268030755,0.9846736532370971,0.18279461741460135,3.937260172520206,0.11442821316249335,4.223017884741578,298.00000000000006
58,11.544998098326168,0.9844047699811159,0.18600154028191027,3.936413715092757,0.11445983157920728,4.222502659088251,298.00000000000006
59,11.545015139381348,0.9841358867010169,0.18920846343686865,3.9355612821008275,0.11449055018567517,4.2219797899372535,298.00000000000006
60,11.545032289366462,0.9838670034377424,0.19241538639114503,3.934702659895451,0.11452038034203277,4.221447791994972,298.00000000000006
61,11.545049445501485,0.9835981201407724,0.1956223097473121,3.933837608615276,0.1145493357503228,4.220905250181438,298.00000000000006
62,11.54506649476534,0.9833292368545788,0.198829232974962,3.932966167951593,0.11457743058261323,4.220350841434835,298.00000000000006
63,11.545083321603084,0.9830603535857416,0.20203615599561842,3.9320884317329066,0.11460467917421888,4.219783337625021,298.00000000000006
64,11.545099805840735,0.982791470321558,0.20524307896077565,3.9312047471042426,0.11463109558673695,4.219201614239308,298.00000000000006
65,11.545117143015359,0.9825225870549439,0.20845000195488633,3.930315346282398,0.11465669374332023,4.218602850857348,298.00000000000006
66,11.545132992123118,0.9822537037854693,0.21165692498313504,3.929421217736528,0.11468148702688988,4.217985090121893,298.00000000000006
