% Model,TEC_discharge_model_017.mph
% Version,COMSOL 5.5.0.359
% Date,"Mar 23 2021, 11:57"
% Table,Simulation Data - 
% Time (s),"Current_Out_Probe (pt. 5) (No parameters) (1/m), Point: 4",SoC cell (No parameters) (m^4),Ah cell (No parameters) (m^4),"Cell voltage (5,t) (No parameters) (1), Point: 4","OCP NE [V] (No parameters) (1), Point: 1","OCP PE [V] (No parameters) (1), Point: 4",Max cell temperature [K] (No parameters) (1)
0,11.543718305791439,0.9999999994621697,6.413845986701638E-9,4.042649168462003,0.11148736868012106,4.305143453743826,298.00000000000006
1,11.544095941914136,0.9997311161947732,0.003206929417422928,4.020021038633148,0.1116100813260365,4.283348428566374,298.00000000000006
2,11.544168260622845,0.9994622329273914,0.006413852420873477,4.01143278321736,0.11163977983713981,4.275275731761349,298.00000000000006
3,11.544210563446121,0.9991933496599991,0.009620775424294844,4.0050391087987665,0.11167134883027734,4.2694045279996695,298.00000000000006
4,11.544237581739132,0.9989244663927157,0.01282769842651445,3.999806512202069,0.11171130757286475,4.264689126641072,298.00000000000006
5,11.544257121742595,0.9986555831256965,0.016034621425468087,3.99522721609556,0.1117818533080239,4.260687681837392,298.00000000000006
6,11.544272061877946,0.9983866998582231,0.019241544429918538,3.991165123870892,0.11191392600280929,4.257229260242072,298.00000000000006
7,11.544285251532711,0.9981178165907562,0.022448467434231418,3.987492203738033,0.11207809140725446,4.2541742919463665,298.00000000000006
8,11.544297349539006,0.9978489333232898,0.02565539043852393,3.9841399128613415,0.11225344540708201,4.251433267257167,298.00000000000006
9,11.544309115371027,0.9975800500558227,0.028862313442829038,3.9810600651725037,0.11242605414243349,4.248944248884227,298.00000000000006
10,11.54432102286211,0.9973111667905686,0.032069236420737925,3.9782171671219864,0.1125862985945961,4.246662046102748,298.00000000000006
11,11.544333142775805,0.9970422835219408,0.03527615943888779,3.975551827482957,0.11272945942442537,4.2445219698493455,298.00000000000006
12,11.544345261448967,0.9967734002541194,0.038483082447471645,3.973075380275361,0.11284818065580603,4.242527963302788,298.00000000000006
13,11.544356622442757,0.9965045169865268,0.04169000545321091,3.9707727265094186,0.11293843415197347,4.240671303183939,298.00000000000006
14,11.544369161183745,0.9962356337190165,0.04489692845808713,3.9686201573391937,0.11299780950330776,4.23893582088224,298.00000000000006
15,11.544382825278927,0.995966750451531,0.048103851462578576,3.966595090831231,0.11302464250661767,4.237306060364873,298.00000000000006
16,11.544397525277482,0.9956978671840611,0.051310774466961875,3.964672960109987,0.11302533237834934,4.23576712166135,298.00000000000006
17,11.544413168376483,0.9954289839738478,0.054517696788402834,3.96283465260348,0.11302168813649113,4.23430660118521,298.00000000000006
18,11.54442960117133,0.9951601007378784,0.05772461941705176,3.961074254317056,0.11301573586987036,4.232915023858292,298.00000000000006
19,11.544446629926691,0.994891217484958,0.06093154224782994,3.9593892294632993,0.11300804360767136,4.231584721750415,298.00000000000006
20,11.544464138480544,0.9946223342153301,0.06413846527790922,3.9577770763739273,0.11299910277479151,4.230310600719037,298.00000000000006
21,11.544465812443589,0.9943534509446275,0.06734538832083428,3.956238897126136,0.11298933542149775,4.2291048445919275,298.00000000000006
22,11.544470693808616,0.9940845676740551,0.0705523113621733,3.9547673419278317,0.11297910603751009,4.227981330615185,298.00000000000006
23,11.54448286949381,0.9938156844037601,0.0737592344001927,3.953340574742712,0.11296873399160624,4.226919052384365,298.00000000000006
24,11.544501325529591,0.9935468011337485,0.07696615743483363,3.9519375744161445,0.11295849236347295,4.225898505472006,298.00000000000006
25,11.5445254452358,0.9932779178992338,0.08017308004621004,3.950539550474734,0.11294861975049966,4.224902553119891,298.00000000000006
26,11.544554745224296,0.9930090346373321,0.08338000298406704,3.9491304177058866,0.11293932963061301,4.22391586669094,298.00000000000006
27,11.544588719038185,0.9927401513521037,0.08658692620025953,3.9476965424173134,0.11293081501575582,4.2229245331260135,298.00000000000006
28,11.544626752795113,0.9924712680263876,0.08979384989926736,3.946228751668142,0.11292325277834377,4.221915965219601,298.00000000000006
