% Model,TEC_discharge_model_020.mph
% Version,COMSOL 5.5.0.359
% Date,"Mar 23 2021, 11:54"
% Table,Simulation Data - 
% Time (s),"Current_Out_Probe (pt. 5) (No parameters) (1/m), Point: 4",SoC cell (No parameters) (m^4),Ah cell (No parameters) (m^4),"Cell voltage (5,t) (No parameters) (1), Point: 4","OCP NE [V] (No parameters) (1), Point: 1","OCP PE [V] (No parameters) (1), Point: 4",Max cell temperature [K] (No parameters) (1)
0,11.543858709194353,0.99999999946217,6.413846146407572E-9,3.8914057384862346,0.11148736868011563,4.305143452631939,298.00000000000006
1,11.54408646189514,0.9997311161948484,0.003206929416715025,3.8764324729118482,0.11161001148576478,4.290777984368994,298.00000000000006
2,11.544145331702698,0.9994622329274928,0.006413852419894261,3.870177565264348,0.11163952639286935,4.2850463770595,298.00000000000006
3,11.54417856288206,0.9991933496601155,0.009620775423244275,3.865584381739949,0.11166915133655783,4.280935607598109,298.00000000000006
4,11.544206118777431,0.9989244663927284,0.012827698426637009,3.8613835108065158,0.11170933807778563,4.277314863103199,298.00000000000006
5,11.544228119351633,0.998655583125326,0.016034621430131624,3.857709676182262,0.11177804160479361,4.274218878397671,298.00000000000006
6,11.54424616664281,0.9983866998579202,0.01924154443372492,3.8543599473033963,0.11190922054884272,4.271492906621267,298.00000000000006
7,11.544261891195113,0.998117816590505,0.022448467437415392,3.851277317237939,0.11207342431404554,4.269046926692648,298.00000000000006
8,11.544276305579215,0.9978489333230809,0.025655390441202464,3.8484239698716682,0.11224921595417935,4.26682209370276,298.00000000000006
9,11.544290059125222,0.9975800500556506,0.028862313445086336,3.8457729836616834,0.1124224232349335,4.264777545043703,298.00000000000006
10,11.544303568416899,0.9973111667882123,0.03206923644906724,3.843304391648173,0.1125833148626462,4.262883566265344,298.00000000000006
11,11.544316880805901,0.997042283520532,0.0352761594559154,3.8409753800592137,0.11272714570308821,4.261093136769781,298.00000000000006
12,11.544330294100929,0.9967734002531138,0.03848308245961436,3.8387977700920075,0.11284649593023464,4.259412481119056,298.00000000000006
13,11.544344322043742,0.9965045169856753,0.04169000546357968,3.8367583033814614,0.11293732063736951,4.257832946792771,298.00000000000006
14,11.54435890601225,0.996235633718226,0.04489692846769161,3.834838798839365,0.11299721082623533,4.256342365728103,298.00000000000006
15,11.544373940270242,0.995966750450764,0.048103851471913386,3.8330226963739022,0.11302450917906758,4.254931380975942,298.00000000000006
