% Model,TEC_discharge_model_004.mph
% Version,COMSOL 5.5.0.359
% Date,"Mar 24 2021, 20:05"
% Table,Simulation Data - 
% Time (s),"Current_Out_Probe (pt. 5) (No parameters) (1/m), Point: 4",SoC cell (No parameters) (m^4),Ah cell (No parameters) (m^4),"Cell voltage (5,t) (No parameters) (1), Point: 4","OCP NE [V] (No parameters) (1), Point: 1","OCP PE [V] (No parameters) (1), Point: 4",Max cell temperature [K] (No parameters) (1)
0,9.997286318147212,0.9999999995341313,5.555555775023927E-9,4.107525948564002,0.1114873681909893,4.305143500074537,298.00000000000006
1,9.998326065078167,0.9997670977886659,0.0027777833342496083,4.097896828346445,0.1116000798417151,4.296488473310129,298.00000000000006
2,9.9985518527642,0.9995341960431161,0.00555556111347691,4.093744359741817,0.1116248185817064,4.2928303120301,298.00000000000006
3,9.998701980493232,0.9993012942975387,0.008333338892962217,4.090265811500961,0.11164732256013819,4.289830570141669,298.00000000000006
4,9.998802287306594,0.9990683925519294,0.011111116672785639,4.087300515835725,0.11167285655473068,4.287310257913324,298.00000000000006
5,9.998874502258682,0.9988354908062893,0.013888894452986956,4.08467152975878,0.11170357631969718,4.285114904081843,298.00000000000006
6,9.998930029788564,0.9986025890606182,0.016666672233573276,4.082257809940506,0.11174471654623826,4.283154778691879,298.00000000000006
7,9.998974875322139,0.9983696873148226,0.019444450015618855,4.079993839648051,0.11182521024339578,4.281375549333095,298.00000000000006
8,9.999013579894266,0.9981367855669913,0.022222227821935028,4.0778219664603235,0.11193807626223158,4.279710814202715,298.00000000000006
9,9.999051561997238,0.9979038838209779,0.025000005606558302,4.075761748779774,0.11206841909299425,4.278164768541765,298.00000000000006
10,9.999088421385459,0.9976709820754002,0.02777778338603812,4.073808644177745,0.11220572846870996,4.276719680902866,298.00000000000006
11,9.999122359883557,0.9974380803298752,0.03055556116486607,4.071955376333924,0.11234276053388144,4.275361287642965,298.00000000000006
12,9.999154351130374,0.997205178584327,0.03333333894391779,4.070196229351611,0.11247421825703688,4.274078888348834,298.00000000000006
13,9.999185142960142,0.9969722768387306,0.036111116723607804,4.068523692007407,0.11259645850079304,4.272861560379953,298.00000000000006
14,9.999215144592567,0.9967393750930764,0.03888889450396196,4.066931863389685,0.11270673614582416,4.271700657811436,298.00000000000006
15,9.999244539337175,0.9965064733473759,0.04166667228487292,4.065416249967621,0.1128028977788754,4.27058970400026,298.00000000000006
16,9.999273399382814,0.9962735716016387,0.04444445006623782,4.063970644667895,0.11288328813821275,4.269523660264779,298.00000000000006
17,9.999301752153325,0.9960406698558635,0.04722222784798924,4.062587850646425,0.1129466631648548,4.268498304310517,298.00000000000006
18,9.999329600182582,0.995807768110061,0.05000000563009561,4.061261322588819,0.11299206564790798,4.26751013016209,298.00000000000006
19,9.99935693874597,0.9955748663642359,0.052777783412543036,4.059984789947369,0.11301872678214665,4.266556111442747,298.00000000000006
20,9.999383760400256,0.9953419646183796,0.055555561195320846,4.0587516908000865,0.11302613540452315,4.265633568574082,298.00000000000006
21,9.9994100558018,0.9951090628726562,0.058333338976518365,4.057554383417387,0.1130249178496741,4.264740127872651,298.00000000000006
22,9.999435814815126,0.9948761611221673,0.06111111681450715,4.056389103355753,0.1130220248250373,4.263873696830122,298.00000000000006
23,9.999461029944213,0.9946432593774448,0.06388889458377284,4.055253625123632,0.11301775398935328,4.263032444250632,298.00000000000006
24,9.99948569488078,0.9944103576330817,0.06666667234876629,4.054145917959575,0.11301236821300481,4.262214703608057,298.00000000000006
25,9.999509804557094,0.9941774558852638,0.06944445015489448,4.05306416255312,0.1130061002417825,4.261418978110481,298.00000000000006
26,9.999533357019965,0.9939445541379306,0.07222222795524505,4.052006716611797,0.11299915722169261,4.26064392169272,298.00000000000006
27,9.999556353641903,0.9937116523910821,0.07500000574986239,4.050972085863677,0.11299172435687432,4.259888315774205,298.00000000000006
28,9.999578798170923,0.9934787506449608,0.07777778353582374,4.049958894080931,0.11298396778557371,4.2591510422232695,298.00000000000006
