% Model,TEC_discharge_model_01C.mph
% Version,COMSOL 5.5.0.359
% Date,"Mar 23 2021, 08:59"
% Table,Simulation Data - 
% Time (s),"Current_Out_Probe (pt. 5) (No parameters) (1/m), Point: 4",SoC cell (No parameters) (m^4),Ah cell (No parameters) (m^4),"Cell voltage (5,t) (No parameters) (1), Point: 4","OCP NE [V] (No parameters) (1), Point: 1","OCP PE [V] (No parameters) (1), Point: 4",Max cell temperature [K] (No parameters) (1)
0,1.1544364126255748,0.9999999999461571,6.413846588549179E-10,4.174553142303775,0.11148736529404715,4.305143688090893,298.00000000000006
10,1.1544572285372317,0.9997311166789365,0.0032069236435547195,4.168990932029683,0.11154732285959272,4.300155261173936,298.00000000000006
20,1.154466959382782,0.9994622334116398,0.006413846645752252,4.166312182795307,0.11156549073351697,4.297912645787913,298.00000000000006
30,1.1544754798047931,0.9991933501443535,0.009620769647971839,4.164113408593801,0.11157785404045105,4.296090957302529,298.00000000000006
40,1.1544828046369522,0.9989244668770555,0.012827692650211792,4.162188729381194,0.11158724076242464,4.294501733649715,298.00000000000006
50,1.1544888856565803,0.9986555836097628,0.016034615652473667,4.160465941234342,0.11159479380746597,4.293072301040338,298.00000000000006
60,1.1544938359111496,0.9983867003424631,0.01924153865475786,4.158892252467938,0.11160116595517948,4.291757280651608,298.00000000000006
70,1.1544978137674198,0.9981178170751622,0.022448461657064905,4.157435652260442,0.11160674966934248,4.290528929989763,298.00000000000006
80,1.1545012314540666,0.9978489338078614,0.025655384659387492,4.1560508787642405,0.1116118876019127,4.289353629540711,298.00000000000006
90,1.1545039780351745,0.9975800505405571,0.028862307661731198,4.154745555052249,0.11161666844726016,4.28823515309636,298.00000000000006
100,1.1545061075929923,0.9973111672732526,0.0320692306640981,4.1535130537254314,0.11162120912008533,4.287167573036805,298.00000000000006
110,1.1545077182357275,0.9970422840059479,0.03527615366648917,4.152344087933655,0.11162561338236675,4.286143646336401,298.00000000000006
120,1.1545088915222612,0.9967734007386382,0.03848307666890491,4.151231280701206,0.11162996133577967,4.285157921408622,298.00000000000006
130,1.1545097239771336,0.9965045174713255,0.04168999967134563,4.1501665750673515,0.11163432526267429,4.284204722535553,298.00000000000006
140,1.154510295496375,0.9962356342040134,0.04489692267381165,4.1491433928898385,0.11163876481892786,4.283279664044562,298.00000000000006
150,1.1545106654939146,0.9959667509366966,0.04810384567630324,4.148156726505474,0.11164332882507577,4.282379593329124,298.00000000000006
160,1.154510878022106,0.9956978676693796,0.05131076867882042,4.1472026619324,0.11164805848905691,4.2815021569714595,298.00000000000006
170,1.1545109684495258,0.9954289844034556,0.05451769166476163,4.146277916732348,0.11165299026339782,4.280645433650453,298.00000000000006
180,1.1545109634345785,0.9951601011378043,0.057724614647344435,4.145379607655911,0.11165815653523445,4.2798078459787945,298.00000000000006
190,1.1545108767287775,0.9948912178710183,0.06093153764354779,4.1445046039818925,0.11166358687435766,4.27898786119141,298.00000000000006
200,1.154510691677219,0.9946223346033324,0.06413846065045967,4.143649500576824,0.11166930915115275,4.278182639761951,298.00000000000006
210,1.15451046484323,0.9943534513354987,0.06734538365911058,4.1428118257697575,0.11167535089055675,4.2773904646058085,298.00000000000006
220,1.1545102038812043,0.9940845680678773,0.07055230666526578,4.1419896079959235,0.11168173984303285,4.276610482087796,298.00000000000006
230,1.1545099159968297,0.9938156848003721,0.07375922967001734,4.141181211317221,0.11168850386223511,4.275841933335042,298.00000000000006
