% Model,TEC_discharge_model_03C.mph
% Version,COMSOL 5.5.0.359
% Date,"Mar 23 2021, 09:07"
% Table,Simulation Data - 
% Time (s),"Current_Out_Probe (pt. 5) (No parameters) (1/m), Point: 4",SoC cell (No parameters) (m^4),Ah cell (No parameters) (m^4),"Cell voltage (5,t) (No parameters) (1), Point: 4","OCP NE [V] (No parameters) (1), Point: 1","OCP PE [V] (No parameters) (1), Point: 4",Max cell temperature [K] (No parameters) (1)
0,3.463285653898869,0.9999999998386019,1.924153822757741E-9,4.138237259804366,0.11148736606311198,4.30514363493749,298.00000000000006
5,3.4633405044372485,0.9995966749377317,0.004810386427525367,4.127231604078991,0.111586431025045,4.295049355171969,298.00000000000006
10,3.463359421478668,0.999193350036776,0.009620770931002283,4.1221291763806684,0.11160974655380054,4.290669410442667,298.00000000000006
15,3.4633759808877413,0.9987900251358144,0.014431155434585619,4.118175673320138,0.11162559825612034,4.287353713245866,298.00000000000006
20,3.463391995567949,0.9983867002348531,0.01924153993822447,4.114637916462301,0.11164088734041391,4.284460437291282,298.00000000000006
25,3.463407227520448,0.9979833753338793,0.024051924441946197,4.111535968680986,0.11165716958977932,4.281941356976249,298.00000000000006
30,3.46342160722223,0.9975800504331694,0.028862308942505348,4.108738680089127,0.11167552213464549,4.279694184652843,298.00000000000006
35,3.4634353139180716,0.9971767255321569,0.033672693446712365,4.106171967320682,0.11169653345238044,4.277651661556584,298.00000000000006
40,3.463448432202217,0.9967734006311508,0.038483077950851166,4.103734413294762,0.11172110581716727,4.275731350562908,298.00000000000006
45,3.4634605514560537,0.9963700757301444,0.04329346245496936,4.101427457165149,0.11175863812871425,4.273937899779252,298.00000000000006
50,3.4634715826246736,0.9959667508291413,0.04810384695910344,4.099240318228442,0.11181898248368494,4.272257343726899,298.00000000000006
55,3.4634815266582764,0.9955634259281341,0.05291423146327334,4.097163387238916,0.11189556172198238,4.2706735053191744,298.00000000000006
60,3.463490436240205,0.9951601010271168,0.05772461596748954,4.095187015045504,0.11198323818704092,4.26917241128712,298.00000000000006
65,3.4634983760896754,0.9947567761260983,0.06253500047175695,4.093304581836132,0.11207791787810488,4.267744103515718,298.00000000000006
70,3.463505437320363,0.994353451225081,0.06734538497607997,4.0915081701649285,0.11217645260429203,4.266378680848258,298.00000000000006
75,3.463511716483202,0.9939501263240481,0.07215576948046146,4.089791397373303,0.11227627327222096,4.265068343089998,298.00000000000006
80,3.463517303926429,0.9935468014230167,0.07696615398490259,4.088149517583634,0.11237520293451218,4.263807202856663,298.00000000000006
85,3.4635222791765514,0.9931434765219821,0.08177653848940399,4.0865788435318215,0.11247137690489105,4.262590631053163,298.00000000000006
90,3.4635267122052835,0.9927401516219836,0.08658692298151156,4.085076224059384,0.11256320333881577,4.2614147253545,298.00000000000006
95,3.463530663218388,0.9923368267222997,0.09139730746987096,4.083638907587972,0.11264931153347356,4.260276206166706,298.00000000000006
100,3.4635341855326742,0.9919335018216999,0.09620769196913173,4.082264220161386,0.11272853035958147,4.259172204147248,298.00000000000006
105,3.463537319874793,0.9915301769204043,0.1010180764767578,4.080948150955476,0.1127998879037572,4.258099878266617,298.00000000000006
110,3.4635401050182075,0.9911268520189923,0.1058284609857,4.079686074273304,0.1128625892717006,4.257056425617099,298.00000000000006
115,3.463542578099921,0.9907235271177443,0.11063884549276187,4.0784738896281905,0.11291596804109146,4.256039822186998,298.00000000000006
120,3.4635447698166923,0.9903202022165679,0.11544922999886209,4.077307719459422,0.11295944400559953,4.255048293838803,298.00000000000006
125,3.4635467081202536,0.9899168773154258,0.12025961450463572,4.07618390347479,0.11299248667600328,4.254080221833796,298.00000000000006
130,3.4635484174518743,0.9895135524142884,0.12506999901033242,4.0750988591576505,0.11301458769084084,4.253134147890435,298.00000000000006
135,3.4635499196397737,0.9891102275131509,0.12988038351600953,4.074049054664339,0.11302522902185386,4.252208757110379,298.00000000000006
140,3.463551233608779,0.9887069026120191,0.1346907680216682,4.073030448937315,0.1130259243079195,4.251302856745511,298.00000000000006
145,3.4635523769112058,0.9883035777108864,0.1395011525273043,4.072039423023248,0.11302461758664235,4.25041535181679,298.00000000000006
150,3.4635533650669976,0.9879002528097561,0.14431153703291572,4.071074149563709,0.11302227271429197,4.249545246395122,298.00000000000006
155,3.4635542120388227,0.9874969279086269,0.14912192153850637,4.070133030640466,0.1130190186332978,4.248691632165657,298.00000000000006
160,3.4635549312086726,0.9870936030075012,0.15393230604408115,4.0692145620742,0.11301497575478514,4.247853658218848,298.00000000000006
165,3.463555534955551,0.9866902781018696,0.15874269060336227,4.068317341389198,0.11301025661916855,4.247030534423482,298.00000000000006
170,3.4635560341539717,0.9862869531919392,0.1635530752138864,4.067440124215499,0.11300496690790035,4.246221534200155,298.00000000000006
175,3.4635564376724743,0.9858836282846072,0.1683634597935425,4.0665818393249396,0.11299920624464649,4.245425995748622,298.00000000000006
180,3.4635567536933443,0.9854803033835899,0.17317384429776003,4.065741490363278,0.11299306881034013,4.244643308175254,298.00000000000006
185,3.4635569888415874,0.9850769784836583,0.17798422878909625,4.06491807334455,0.11298664380283614,4.243872911969741,298.00000000000006
190,3.463557147630658,0.9846736535832324,0.18279461328629917,4.064110009834506,0.11298001468157925,4.243114292540388,298.00000000000006
195,3.4635573346618016,0.9842703286825094,0.1876049977870452,4.063316524326767,0.11297326076207448,4.242367470302396,298.00000000000006
200,3.4635574591116804,0.9838670037818702,0.19241538228678046,4.0625359599541735,0.11296645666818342,4.24163253292621,298.00000000000006
205,3.463557526364765,0.9834636788812967,0.19722576678577874,4.061767402270057,0.11295967498707128,4.240908903604685,298.00000000000006
210,3.463557543494769,0.9830603539807099,0.20203615128492072,4.061009724369725,0.11295298627955781,4.240196044890825,298.00000000000006
215,3.4635575151471194,0.9826570290800766,0.20684653578460863,4.0602618507331245,0.11294645951548436,4.239493451490168,298.00000000000006
220,3.463557444409966,0.982253704179394,0.21165692028486144,4.059523202181607,0.11294016350547871,4.238800643684938,298.00000000000006
225,3.463557335189691,0.9818503792786776,0.2164673047855499,4.058792671906393,0.1129341653722261,4.238117134054921,298.00000000000006
230,3.463557189254722,0.9814470543779332,0.22127768928658498,4.05806980305479,0.1129285342393079,4.237442507966092,298.00000000000006
235,3.46355700874301,0.9810437294771615,0.22608807378790097,4.0573539598512145,0.11292333905055987,4.236776351460585,298.00000000000006
240,3.463556795554957,0.9806404045763688,0.23089845828944894,4.0566445205508,0.11291864919794686,4.2361182610724475,298.00000000000006
245,3.4635565513006252,0.9802370796755644,0.23570884279119583,4.055941132669268,0.1129145355190987,4.235467864526661,298.00000000000006
250,3.463556278408304,0.9798337547688385,0.24051922736354142,4.055243149846216,0.11291106914519106,4.234824774766533,298.00000000000006
255,3.463555976693232,0.9794304300327265,0.2453296099009879,4.05455044441548,0.11290832269941549,4.234188646394229,298.00000000000006
260,3.4635556418795077,0.9790271051776654,0.25013999385713465,4.053863361880926,0.11290637044590313,4.233559221486443,298.00000000000006
265,3.463555268556266,0.9786237802484049,0.2549503786982622,4.0531823269569385,0.11290528842139577,4.232936319700475,298.00000000000006
270,3.4635548524212108,0.9782204553024927,0.2597607637379843,4.05250734261229,0.11290573596318518,4.232319787765705,298.00000000000006
275,3.463554387403615,0.9778171303794922,0.2645711485044218,4.051838215931469,0.11291404403420754,4.231709496324085,298.00000000000006
280,3.463553865030858,0.9774138054516056,0.2693815333291925,4.05117578777175,0.1129313797714041,4.231105327990778,298.00000000000006
285,3.463553272765571,0.9770104805501119,0.2741919178390883,4.050521125960422,0.11295700935997417,4.230507184176246,298.00000000000006
290,3.4635533249474184,0.9766071556526684,0.2790023023007636,4.049875719136704,0.11299017927248785,4.229915764713339,298.00000000000006
295,3.4635542991405406,0.9762038307530568,0.28381268678825944,4.049241473690813,0.11303013383721748,4.229338982936741,298.00000000000006
300,3.4635549899099525,0.9758005058514342,0.2886230712997378,4.048617178175672,0.1130761256239405,4.228777019040481,298.00000000000006
305,3.4635554637432975,0.9753971809489974,0.2934334558209353,4.048001384765491,0.1131274165905009,4.228227580389178,298.00000000000006
310,3.4635557543463014,0.9749938560466049,0.2982438403415909,4.0473923279124575,0.1131832818916969,4.227688477402857,298.00000000000006
315,3.463555857047145,0.9745905311442696,0.30305422486156924,4.046788012246508,0.11324303532815723,4.227157724691069,298.00000000000006
320,3.4635557697342714,0.9741872062419967,0.3078646093808519,4.046186947329972,0.1133060076990495,4.2266333254045,298.00000000000006
325,3.4635554882637503,0.9737838813397811,0.3126749938994458,4.045587477141069,0.11337155440905392,4.226113291740036,298.00000000000006
330,3.46355500516595,0.9733805564376138,0.3174853784173486,4.04498781591953,0.11343906211245555,4.225595674351454,298.00000000000006
335,3.463554314607695,0.9729772315355109,0.32229576293455653,4.044386145501325,0.1135079447244542,4.225078478681602,298.00000000000006
340,3.463553409700029,0.9725739066334672,0.3271061474510483,4.043780776191463,0.11357764189424117,4.224559707635328,298.00000000000006
345,3.4635522833692396,0.9721705817224885,0.33191653207414523,4.043170081838052,0.11364761626975585,4.224037358567067,298.00000000000006
350,3.4635509294126274,0.9717672568515919,0.33672691621916023,4.042551826097072,0.11371736472012964,4.223509403352042,298.00000000000006
355,3.463549341495522,0.9713639319332292,0.34153730093027135,4.0419242366369375,0.1137864074746046,4.222973794041923,298.00000000000006
360,3.463547513679171,0.9709606070436914,0.34634768529765414,4.041285843184581,0.11385428707882002,4.222428459733693,298.00000000000006
365,3.4635454385467295,0.9705572820614643,0.35115807077047756,4.040635150601683,0.1139205660995332,4.221871381412091,298.00000000000006
370,3.4635431091300615,0.9701539571148682,0.35596845581836256,4.039970936763638,0.11398482992800006,4.221300551382806,298.00000000000006
375,3.4635405204142184,0.9697506322114728,0.36077884035096874,4.039292302845515,0.11404667811998662,4.2207139890392,298.00000000000006
380,3.463537667199492,0.9693473073196972,0.365589224745019,4.038598472134051,0.11410572321727071,4.220109751262586,298.00000000000006
385,3.4635345483773157,0.9689439824246637,0.3703996091779066,4.037888807356395,0.11416159790975537,4.21948598284242,298.00000000000006
390,3.463530591715796,0.9685406575272236,0.3752099936395046,4.037162953797461,0.11421394115919788,4.218840349750521,298.00000000000006
