% Model,TEC_discharge_model_T001.mph
% Version,COMSOL 5.5.0.359
% Date,"Mar 24 2021, 11:28"
% Table,Simulation Data - 
% Time (s),"Current_Out_Probe (pt. 5) (No parameters) (1/m), Point: 4",SoC cell (No parameters) (m^4),Ah cell (No parameters) (m^4),"Cell voltage (5,t) (No parameters) (1), Point: 4","OCP NE [V] (No parameters) (1), Point: 1","OCP PE [V] (No parameters) (1), Point: 4",Max cell temperature [K] (No parameters) (1)
0,11.54370380306508,0.9999999994621693,6.413846094924691E-9,4.044318527101825,0.11143718824879768,4.30522166555436,298.50000000000006
1,11.5439917291958,0.9997311161948434,0.003206929416757556,4.029364070593295,0.1115588985047766,4.291026773427059,298.50000000000006
2,11.544063297325254,0.9994622329274218,0.0064138524207502335,4.0232109823700135,0.11158766533122393,4.285386595970729,298.50000000000006
3,11.544106837916727,0.9991933496599638,0.00962077542498739,4.0184630250039435,0.11161760711063712,4.281152966441845,298.50000000000006
4,11.544139027834643,0.9989244663925829,0.012827698428308608,4.014354541314867,0.11165628878184135,4.277595596796043,298.50000000000006
5,11.544165210795786,0.9986555831251891,0.016034621431787535,4.010735094876341,0.11171920669704914,4.274542738770189,298.50000000000006
6,11.544186616676413,0.9983866998577782,0.019241544435397905,4.007428298147451,0.11184289525143382,4.2718481610041135,298.50000000000006
7,11.544205164987227,0.9981178165903628,0.022448467439129885,4.004379636073072,0.11200089495244635,4.269426314150639,298.50000000000006
8,11.544222043505322,0.9978489333229345,0.025655390442978966,4.001553200690778,0.11217218429760864,4.267220752467252,298.50000000000006
9,11.54423801014761,0.9975800500554941,0.028862313446943167,3.998923239514483,0.11234277119834232,4.265192020067292,298.50000000000006
10,11.544253548882917,0.9973111667880454,0.03206923645102122,3.996470547146628,0.11250298586544139,4.263311286238988,298.50000000000006
11,11.544268761725828,0.9970422835210139,0.035276159450134514,3.9941530663882223,0.11264809313447344,4.261532418383142,298.50000000000006
12,11.544283966254484,0.9967734002537055,0.03848308245256067,3.9919841401582343,0.1127706764840768,4.259861709996397,298.50000000000006
13,11.54429960808655,0.9965045169862625,0.041690005456595625,3.989952319819032,0.11286660874697073,4.258291025143848,298.50000000000006
14,11.544315896213364,0.9962356337187769,0.04489692846112554,3.9880401508875276,0.11293340978881553,4.256808395600716,298.50000000000006
15,11.544332565476179,0.9959667504512735,0.04810385146587853,3.986231763727115,0.1129693885565422,4.255404486251874,298.50000000000006
16,11.544349614264936,0.9956978671837603,0.05131077447069553,3.9845096520197636,0.11297543250679934,4.254069990723255,298.50000000000006
17,11.544367005944117,0.9954289839162487,0.05451769747553255,3.982857050819942,0.11297278810119482,4.252797069495602,298.50000000000006
18,11.544384688252702,0.9951601006487379,0.05772462048039381,3.9812658493940294,0.11296771393278475,4.251579407419103,298.50000000000006
19,11.544402581268258,0.9948912173812162,0.06093154348529292,3.979729579489373,0.11296077565247671,4.250411230227671,298.50000000000006
