% Model,TEC_discharge_model_i00cost.mph
% Version,COMSOL 5.5.0.359
% Date,"Mar 24 2021, 12:51"
% Table,Simulation Data - 
% Time (s),"Current_Out_Probe (pt. 5) (No parameters) (1/m), Point: 4",SoC cell (No parameters) (m^4),Ah cell (No parameters) (m^4),"Cell voltage (5,t) (No parameters) (1), Point: 4","OCP NE [V] (No parameters) (1), Point: 1","OCP PE [V] (No parameters) (1), Point: 4",Max cell temperature [K] (No parameters) (1)
0,11.541740532324589,0.9999999994621694,6.413846317516747E-9,4.09655520514149,0.11148736868012107,4.3051434672615,298.00000000000006
1,11.543229777304427,0.9997311161947852,0.003206929417522947,4.081301943487278,0.11161000902391686,4.291167071303483,298.00000000000006
2,11.543477680380564,0.999462232933082,0.006413852353261268,4.075112773905849,0.11163928491797398,4.285519452809796,298.00000000000006
3,11.543610737809354,0.9991933496716863,0.009620775285228865,4.070349619754321,0.11167022279338794,4.281270156946272,298.00000000000006
4,11.543701087682225,0.9989244664022344,0.0128276983132652,4.066232955238003,0.11171045666417333,4.277697087049827,298.00000000000006
5,11.543770897967036,0.998655583133534,0.016034621332278592,4.062606863742102,0.1117802259285618,4.274630236952887,298.00000000000006
6,11.543823412199796,0.9983866998651383,0.019241544347602738,4.0592997464379055,0.11191194183475205,4.2719234285270264,298.00000000000006
7,11.543865492992872,0.9981178165969057,0.022448467361073615,4.0562567038399555,0.1120761337113693,4.26949134974817,298.00000000000006
8,11.543901047201443,0.9978489333287537,0.025655390373542815,4.053441011956145,0.11225167310888721,4.267277519698954,298.00000000000006
9,11.543932449112758,0.9975800500606492,0.02886231338547303,4.050826350081078,0.11242452870831876,4.265242353242031,298.00000000000006
10,11.543961189961015,0.997311166783719,0.032069236502642984,4.0483930827347345,0.11258503734289627,4.263356856159585,298.00000000000006
11,11.543988140525842,0.9970422835154302,0.03527615951671891,4.046098661503093,0.11272847205490286,4.261574379137208,298.00000000000006
12,11.54401396061595,0.9967734002475215,0.038483082526317894,4.0439546895778165,0.11284745195709159,4.259901267802601,298.00000000000006
13,11.544039748689578,0.9965045169801029,0.041690005530055106,4.041948256391344,0.11293794404347711,4.258329281283698,298.00000000000006
14,11.544066355624933,0.9962356337126971,0.044896928533651674,4.040061268798779,0.11299754044560222,4.256846391654529,298.00000000000006
15,11.544092762516673,0.9959667504452221,0.04810385153804907,4.038277128060852,0.1130245815429768,4.255443115408044,298.00000000000006
16,11.54411913446215,0.9956978671776502,0.05131077454356443,4.036576659196305,0.11302534547416938,4.254110036937341,298.00000000000006
17,11.544145519710435,0.9954289839100021,0.05451769755007499,4.034944843469326,0.1130217157566898,4.252839209962555,298.00000000000006
18,11.544171913932836,0.9951601006422833,0.05772462055733982,4.03337429721734,0.11301577414114239,4.25162422270482,298.00000000000006
19,11.544198255023188,0.9948912173745269,0.06093154356511116,4.031858480921541,0.11300808951455768,4.250459204035826,298.00000000000006
20,11.544224536752402,0.9946223340890652,0.06413846678402232,4.030392891826445,0.11299915393334195,4.249340238996647,298.00000000000006
21,11.544250718789739,0.9943534508248415,0.06734538974966675,4.028973375009877,0.11298938989542329,4.248263573371703,298.00000000000006
22,11.544276751698378,0.9940845675673191,0.07055231263534929,4.027596248938374,0.11297916220189508,4.247225818044952,298.00000000000006
