% Model,TEC_discharge_model_Dsni00cost.mph
% Version,COMSOL 5.5.0.359
% Date,"Mar 24 2021, 13:06"
% Table,Simulation Data - 
% Time (s),"Current_Out_Probe (pt. 5) (No parameters) (1/m), Point: 4",SoC cell (No parameters) (m^4),Ah cell (No parameters) (m^4),"Cell voltage (5,t) (No parameters) (1), Point: 4","OCP NE [V] (No parameters) (1), Point: 1","OCP PE [V] (No parameters) (1), Point: 4",Max cell temperature [K] (No parameters) (1)
0,11.5417405322718,0.9999999994621698,6.413846190626533E-9,4.096555205158035,0.11148736868012106,4.30514346727637,298.00000000000006
1,11.542979986021413,0.9997311161948119,0.003206929417350613,4.085377239244735,0.11161000902357446,4.2950873394170745,298.00000000000006
2,11.543241935120568,0.9994622329273674,0.006413852421574802,4.08059137216868,0.11163909289932725,4.290876519349534,298.00000000000006
3,11.543401149327199,0.9991933496598637,0.00962077542630786,4.076731375753056,0.11167065909636241,4.287546442744077,298.00000000000006
4,11.543491834409712,0.9989244663722877,0.012827698670479835,4.073618404276681,0.11170739182717583,4.284937331614156,298.00000000000006
5,11.543577582170936,0.9986555830831522,0.016034621933227085,4.070559943726844,0.11177434479878272,4.282446351458816,298.00000000000006
6,11.543638706170952,0.998386699820714,0.01924154487754598,4.067752284803897,0.11190463273699444,4.2802439116613735,298.00000000000006
7,11.543691089408005,0.9981178165567438,0.02244846784015707,4.065146199826086,0.11206888951649822,4.278258083549157,298.00000000000006
8,11.543740764652652,0.9978489332917727,0.02565539081468571,4.062711665311654,0.11224512074524716,4.276434865280527,298.00000000000006
9,11.54378466676904,0.9975800500261991,0.028862313796412915,4.060431498305051,0.11241891489018178,4.274742839612364,298.00000000000006
10,11.543824811766031,0.9973111667602161,0.032069236783029836,4.058293628133282,0.11258043254312759,4.273160649366651,298.00000000000006
11,11.543862648039612,0.9970422834940155,0.035276159772216764,4.056266096819765,0.11272490790579648,4.271652499691546,298.00000000000006
